ablation,method,regime,delta_qlike_vs_rolling_best_mean,delta_qlike_vs_rolling_best_median,delta_underprediction_loss_vs_rolling_best_mean,delta_underprediction_loss_vs_rolling_best_median,delta_qlike_vs_har_mean,delta_qlike_vs_har_median,delta_underprediction_loss_vs_har_mean,delta_underprediction_loss_vs_har_median,delta_qlike_vs_vix_switch_mean,delta_qlike_vs_vix_switch_median,delta_underprediction_loss_vs_vix_switch_mean,delta_underprediction_loss_vs_vix_switch_median
full,regime_set_combo,all,-2895.9472554829476,-0.024211311943553943,-0.004424623756296084,-0.00425980870291815,-46056.60941688362,-0.01857113938080232,-0.004632062177328118,-0.004124206327029152,-0.06936536685590854,-0.06310752676920683,-0.010412831063348017,-0.010566676251555551
full,regime_set_combo,high,-8683.969934918934,-0.09399016371482868,-0.014249343966248667,-0.013287898812368248,-120960.97229315246,-0.07672966335142636,-0.017098203037988553,-0.015419522260953753,-0.25739420403569657,-0.25220633644134105,-0.018818246105810715,-0.0167862394094742
full,regime_set_combo,low,0.04207931814919169,0.03421055770355258,-0.0008161167022170328,-0.00014413747576494975,0.02633804486197978,0.050511038720269935,-4.504996609752624e-05,-2.7527984645900377e-05,0.15342668590415362,0.14295918592243423,-0.002116078502647139,-0.0016570531905228377
full,regime_set_combo,mid,0.018278086326560306,0.01648702302714221,-0.0026503694008631336,-0.00270041862194155,-17169.82738160659,0.038107067697351005,-0.0011926421043964,-0.0002681765688916499,-0.08542829195569775,-0.09054410389616607,-0.014754391997282767,-0.013280973141053698
full,regime_set_stress,all,-2895.9152905701862,-0.0034707316990547354,-0.006211189028566784,-0.0062232004111435505,-46056.577451970865,0.0021694408636968865,-0.006418627449598817,-0.0055604904685013015,-0.03740045409440374,-0.034556401148310434,-0.012199396335618716,-0.011970841564021398
full,regime_set_stress,high,-8683.98445599336,-0.11932374552585964,-0.01801162809067443,-0.016180819812381297,-120960.98681422688,-0.09957348940828584,-0.020860487162414315,-0.019016593621609252,-0.271915278463133,-0.28056964535901946,-0.02258053023023648,-0.0218168446146439
full,regime_set_stress,low,0.13447054252515986,0.12444096572187113,-0.0008369004206932604,-0.00016536847303349973,0.11872926923794792,0.09800566465642785,-6.583368457375396e-05,-5.4341466510157084e-05,0.24581791028012176,0.2485116044671064,-0.0021368622211233672,-0.0016863416240452795
full,regime_set_stress,mid,0.04820980964789806,0.05141092334512816,-0.0038285012779429,-0.0039037089270842996,-17169.797449883266,0.056249700985481495,-0.002370773981476167,-0.0023129926487399496,-0.05549656863435998,-0.07419131918072923,-0.015932523874362534,-0.01366914464189685
full,rolling_best,all,0.0,0.0,0.0,0.0,-43160.66216140067,0.0030947672778174895,-0.00020743842103203349,-0.00029319815282004974,2895.8778901160917,-0.02015316861286026,-0.005988207307051932,-0.00668273792427905
full,rolling_best,high,0.0,0.0,0.0,0.0,-112277.00235823351,0.0035603930443143528,-0.002848859071739885,-0.002834762296729302,8683.712540714898,-0.15783217931403826,-0.004568902139562048,-0.004789215499706002
full,rolling_best,low,0.0,0.0,0.0,0.0,-0.01574127328721191,-0.008131601021954371,0.0007710667361195065,0.00011783425804386943,0.11134736775496192,0.0898600371715129,-0.0012999618004301066,-0.00099893950215545
full,rolling_best,mid,0.0,0.0,0.0,0.0,-17169.845659692914,0.012219314955475798,0.0014577272964667331,0.0011444708707609003,-0.10370637828225804,-0.08297085754351248,-0.012104022596419633,-0.01222172393749955
full,static_best,all,48538.23369692714,0.09764100888979113,0.006053008473852366,0.0042460942551634,5377.57153552647,0.09965030254326254,0.005845570052820333,0.0012885594250904506,51434.11158704324,0.027816489593925714,6.480116680043259e-05,-0.0016805638964446507
full,static_best,high,114950.30450933856,0.17945492650247896,0.010638352151297298,0.006461917752532298,2673.302151105037,0.20097386202679035,0.007789493079557413,-0.001181298296158706,123634.01705005346,0.023725596670572557,0.00606945001173525,0.0009190035648018978
full,static_best,low,-0.00015036338890196213,-0.02164760725595466,-0.0006139446042560387,-0.00011556308248816542,-0.015891636676113874,-0.0007061025991279557,0.00015712213186346786,6.53417033145651e-06,0.11119700436605995,0.042466752236247046,-0.001913906404686145,-0.001667931544268265
full,static_best,mid,19342.287062848478,-0.009282020688795599,0.0013479188786902996,0.0008886979518781498,2172.441403155565,0.0026649713259002464,0.002805646175157033,-9.856120649745048e-05,19342.183356470196,-0.11596930069172094,-0.010756103717729332,-0.00939294898808185
full,vix_switch,all,-2895.8778901160917,0.02015316861286026,0.005988207307051932,0.00668273792427905,-46056.540051516764,0.027767102833428536,0.005780768886019899,0.0058264374957553485,0.0,0.0,0.0,0.0
full,vix_switch,high,-8683.712540714898,0.15783217931403826,0.004568902139562048,0.004789215499706002,-120960.71489894843,0.17509267967744058,0.0017200430678221631,0.0007790327223698434,0.0,0.0,0.0,0.0
full,vix_switch,low,-0.11134736775496192,-0.0898600371715129,0.0012999618004301066,0.00099893950215545,-0.12708864104217385,-0.0904931280277911,0.0020710285365496133,0.0016320001575351223,0.0,0.0,0.0,0.0
full,vix_switch,mid,0.10370637828225804,0.08297085754351248,0.012104022596419633,0.01222172393749955,-17169.74195331463,0.12865117159351708,0.013561749892886367,0.01201865721465575,0.0,0.0,0.0,0.0
full,xgb,all,-2895.6972385882455,0.15165914383599702,0.007029003187856549,0.0068268416755339015,-46056.35939998892,0.15672767277163116,0.006821564766824516,0.00600330230472125,0.18065152784641536,0.1277835063242837,0.0010407958808046163,0.00101987127452155
full,xgb,high,-8683.383218384412,0.31967872882445514,0.027203202068955063,0.026104295698185943,-120960.38557661795,0.3205552820004334,0.024354342997215183,0.022243419263327145,0.3293223304856171,0.18744956571983892,0.022634299929393017,0.022883385931320895
full,xgb,low,0.21721336608463293,0.15367330218737835,-0.0008877459129730934,-0.00026031607766745,0.20147209279742104,0.15617056182914574,-0.00011667917685358687,-0.00010336525095997769,0.32856073383959483,0.29218236994242586,-0.0021877077134032,-0.0017969756025257998
full,xgb,mid,-0.012623428631762483,-0.02489433768839904,-0.0052450331279742,-0.00517902211710815,-17169.858283121546,0.010114947582211493,-0.003787305831507467,-0.0041061558473571005,-0.11632980691402055,-0.1174691259556184,-0.017349055724393835,-0.01473324044008205
no_high_branch_blend,figarch,all,-2895.7132997240788,0.11580141782993938,-0.016003666669039483,-0.01544561354901295,-46056.37546112476,0.12180396774084482,-0.01621110509007152,-0.0149640536136655,0.1645903920127084,0.14981560810580766,-0.021991873976091415,-0.021645056496264102
no_high_branch_blend,figarch,high,-8684.017406073875,-0.14827987613535315,-0.04191059316697835,-0.03915857168638465,-120961.0197643074,-0.1462284325104536,-0.04475945223871824,-0.04236814795560175,-0.3048653589788197,-0.29742772348362334,-0.04647949530654039,-0.041917211426989946
no_high_branch_blend,figarch,low,0.49364228604887733,0.4797881076049584,-0.000841167629468095,-0.00019564679588563724,0.47790101276166536,0.4641750567039803,-7.01008933485885e-05,-5.286019227522769e-05,0.6049896538038392,0.6165382237111746,-0.002141129429898202,-0.0017404141124051
no_high_branch_blend,figarch,mid,0.29739257815463344,0.2829469945472505,-0.005244700066614607,-0.005314829342005001,-17169.54826711476,0.2141807855195789,-0.0037869727701478734,-0.00321547876165595,0.19368619987237543,0.18353077892384392,-0.01734872266303424,-0.01562836756239397
no_high_branch_blend,garch_t,all,-2895.720524844754,0.10684457672548581,-0.01580407801950195,-0.015321351388896402,-46056.38268624543,0.11284712663639124,-0.016011516440533984,-0.015136533902488102,0.15736527133736575,0.1371301188816916,-0.021792285326553886,-0.021583370672909802
no_high_branch_blend,garch_t,high,-8684.018437492976,-0.15496052802502122,-0.04115038022461557,-0.038507126367892594,-120961.0207957265,-0.13819091862713082,-0.04399923929635546,-0.042474909692722496,-0.30589677807960997,-0.29954192411389585,-0.04571928236417761,-0.04202397316411069
no_high_branch_blend,garch_t,low,0.4870501183069611,0.47978677639854256,-0.000865869828749566,-0.00021151211403533246,0.4713088450197492,0.4626375011597668,-9.480309263005945e-05,-0.00010015669348559545,0.5983974860619231,0.6165368925047587,-0.0021658316291796723,-0.0017561658888468929
no_high_branch_blend,garch_t,mid,0.28333156527914943,0.2661782844192919,-0.005381899980763955,-0.0057147575131629,-17169.562328127635,0.18675818349136405,-0.0039241726842972205,-0.0031005466549932003,0.17962518699689142,0.17318419249565492,-0.017485922577183587,-0.015171384392646661
no_high_branch_blend,gru,all,-2895.8124580107155,0.09192448699235592,0.02249023386389173,0.023770625452002446,-46056.4746194114,0.09226483375533126,0.022282795442859698,0.02163464345971445,0.06543210537641683,0.07146543105907618,0.0165020265568398,0.0164979939050457
no_high_branch_blend,gru,high,-8683.298851988267,0.4982575537843393,0.0528006674957657,0.0540264293669228,-120960.30121022178,0.4975732205139559,0.04995180842402582,0.046269099291771504,0.41368872662924633,0.39524012017832505,0.04823176535620365,0.0486226220166241
no_high_branch_blend,gru,low,-0.19488880763279168,-0.21781331371238405,0.0013062794491514398,0.0010068184384337997,-0.21063008092000357,-0.2022963574042786,0.0020773461852709465,0.001639879093813472,-0.08354143987782973,-0.06464594878932371,6.31764872133333e-06,0.0
no_high_branch_blend,gru,mid,-0.030414258207294587,-0.027597507101652756,0.01335140487785805,0.013339157468944351,-17169.876073951124,-0.008869199820631161,0.014809132174324785,0.0126801422933754,-0.13412063648955264,-0.11007373193306988,0.0012473822814384168,0.000839125055046101
no_high_branch_blend,har,all,43160.66216140067,-0.0030947672778174895,0.00020743842103203349,0.00029319815282004974,0.0,0.0,0.0,0.0,46056.540051516764,-0.027767102833428536,-0.005780768886019899,-0.0058264374957553485
no_high_branch_blend,har,high,112277.00235823351,-0.0035603930443143528,0.002848859071739885,0.002834762296729302,0.0,0.0,0.0,0.0,120960.71489894843,-0.17509267967744058,-0.0017200430678221631,-0.0007790327223698434
no_high_branch_blend,har,low,0.01574127328721191,0.008131601021954371,-0.0007710667361195065,-0.00011783425804386943,0.0,0.0,0.0,0.0,0.12708864104217385,0.0904931280277911,-0.0020710285365496133,-0.0016320001575351223
no_high_branch_blend,har,mid,17169.845659692914,-0.012219314955475798,-0.0014577272964667331,-0.0011444708707609003,0.0,0.0,0.0,0.0,17169.74195331463,-0.12865117159351708,-0.013561749892886367,-0.01201865721465575
no_high_branch_blend,regime_high_branch,all,-2895.9472554829476,-0.024211311943553943,-0.004424623756296084,-0.00425980870291815,-46056.60941688362,-0.01857113938080232,-0.004632062177328118,-0.004124206327029152,-0.06936536685590854,-0.06310752676920683,-0.010412831063348017,-0.010566676251555551
no_high_branch_blend,regime_high_branch,high,-8683.969934918934,-0.09399016371482868,-0.014249343966248667,-0.013287898812368248,-120960.97229315246,-0.07672966335142636,-0.017098203037988553,-0.015419522260953753,-0.25739420403569657,-0.25220633644134105,-0.018818246105810715,-0.0167862394094742
no_high_branch_blend,regime_high_branch,low,0.04207931814919169,0.03421055770355258,-0.0008161167022170328,-0.00014413747576494975,0.02633804486197978,0.050511038720269935,-4.504996609752624e-05,-2.7527984645900377e-05,0.15342668590415362,0.14295918592243423,-0.002116078502647139,-0.0016570531905228377
no_high_branch_blend,regime_high_branch,mid,0.018278086326560306,0.01648702302714221,-0.0026503694008631336,-0.00270041862194155,-17169.82738160659,0.038107067697351005,-0.0011926421043964,-0.0002681765688916499,-0.08542829195569775,-0.09054410389616607,-0.014754391997282767,-0.013280973141053698
no_high_branch_blend,regime_low_branch,all,338.1132233465001,-0.00747340655555645,-0.0003422370097159507,9.354500256720036e-05,-42822.54893805418,-0.009446278272595199,-0.0005496754307479842,3.2549740547699324e-05,3233.9911134625922,-0.04396239220964934,-0.006330444316767884,-0.0064294709671175
no_high_branch_blend,regime_low_branch,high,191.8733613317552,-0.03720536160739049,-0.002671502558781453,-0.0022644951669937054,-112085.12899690175,-0.03498327448079824,-0.005520361630521338,-0.0050352929041949,8875.585902046652,-0.21007595415823882,-0.007240404698343501,-0.007412526592150852
no_high_branch_blend,regime_low_branch,low,0.023536382163434216,0.025704880023698917,-0.0008361362158745429,-0.00017037984373597862,0.007795108876222302,0.004452043797919386,-6.506947975503623e-05,-5.552291510545038e-05,0.13488374991839613,0.11556491719521182,-0.0021360980163046494,-0.0016649553096907497
no_high_branch_blend,regime_low_branch,mid,-0.012315600399810682,-0.006140778624121143,-0.0029655642841491334,-0.0027842379160226503,-17169.85797529331,0.010480577069027198,-0.0015078369876824003,-0.0010102691521613502,-0.11602197868206872,-0.11515474637153324,-0.015069586880568767,-0.01348656855910135
no_high_branch_blend,regime_overlay,all,-2895.948770084005,-0.02217630905064233,-0.004375529956051734,-0.00409466853856795,-46056.61093148469,-0.016536136487890707,-0.004582968377083768,-0.0040079456959447,-0.0708799679128479,-0.06069773881486429,-0.010363737263103667,-0.01068762567988375
no_high_branch_blend,regime_overlay,high,-8683.966535204181,-0.0918300764079795,-0.013579905203349717,-0.013091343626858803,-120960.9688934377,-0.07597103137536479,-0.016428764275089602,-0.01575538495037165,-0.2539944892842554,-0.25106371105280534,-0.018148807342911768,-0.01770983815334835
no_high_branch_blend,regime_overlay,low,0.03972445149445785,0.03820990629300236,-0.0008368319173397828,-0.0001700923001676141,0.023983178207245937,0.022832664106178985,-6.576518122027638e-05,-5.499664531740038e-05,0.1510718192494198,0.12806994346451528,-0.002136793717769889,-0.001666488594756
no_high_branch_blend,regime_overlay,mid,0.012929421542700362,0.018275700868383746,-0.0031717770165432,-0.0031274323985359003,-17169.83273027137,0.03184778266928824,-0.0017140497200764668,-0.00111405264348245,-0.0907769567395577,-0.09855678343081513,-0.015275799612962833,-0.013630619818998699
no_high_branch_blend,regime_set_calm,all,338.1130233268896,-0.0043204424621431925,0.002670250165098332,0.003066224624692899,-42822.54913807379,-0.00795991926965911,0.0024628117440662987,0.002568613545981849,3233.9909134429813,-0.04090336003696765,-0.003317957141953601,-0.003119731403522251
no_high_branch_blend,regime_set_calm,high,191.91681393487167,0.008004129819963512,0.0032273928920156327,0.004644388564258899,-112085.08554429865,0.009423953101780708,0.0003785338202757481,0.0011097092749568493,8875.629354649769,-0.14582936071387984,-0.001341509247546415,4.5831917354400425e-05
no_high_branch_blend,regime_set_calm,low,-0.018981355024263624,-0.018895527794029227,-0.0006254029663999636,-7.068176358625001e-05,-0.03472262831147554,-0.02321893879687545,0.000145663769719543,0.00015042280360109711,0.09236601273069829,0.08153890213654323,-0.0019253647668300699,-0.0014921628817364998
no_high_branch_blend,regime_set_calm,mid,-0.02331685557956822,-0.027384940722985356,-0.0006690533443817502,-0.0009346641757364501,-17169.868976548492,0.0021382737005562966,0.000788673952084983,0.0017778409521124001,-0.12702323386182626,-0.12328576628232733,-0.012773075940801383,-0.012226546326920499
no_high_branch_blend,regime_set_combo,all,-2895.9472554829476,-0.024211311943553943,-0.004424623756296084,-0.00425980870291815,-46056.60941688362,-0.01857113938080232,-0.004632062177328118,-0.004124206327029152,-0.06936536685590854,-0.06310752676920683,-0.010412831063348017,-0.010566676251555551
no_high_branch_blend,regime_set_combo,high,-8683.969934918934,-0.09399016371482868,-0.014249343966248667,-0.013287898812368248,-120960.97229315246,-0.07672966335142636,-0.017098203037988553,-0.015419522260953753,-0.25739420403569657,-0.25220633644134105,-0.018818246105810715,-0.0167862394094742
no_high_branch_blend,regime_set_combo,low,0.04207931814919169,0.03421055770355258,-0.0008161167022170328,-0.00014413747576494975,0.02633804486197978,0.050511038720269935,-4.504996609752624e-05,-2.7527984645900377e-05,0.15342668590415362,0.14295918592243423,-0.002116078502647139,-0.0016570531905228377
no_high_branch_blend,regime_set_combo,mid,0.018278086326560306,0.01648702302714221,-0.0026503694008631336,-0.00270041862194155,-17169.82738160659,0.038107067697351005,-0.0011926421043964,-0.0002681765688916499,-0.08542829195569775,-0.09054410389616607,-0.014754391997282767,-0.013280973141053698
no_high_branch_blend,regime_set_stress,all,-2895.9152905701862,-0.0034707316990547354,-0.006211189028566784,-0.0062232004111435505,-46056.577451970865,0.0021694408636968865,-0.006418627449598817,-0.0055604904685013015,-0.03740045409440374,-0.034556401148310434,-0.012199396335618716,-0.011970841564021398
no_high_branch_blend,regime_set_stress,high,-8683.98445599336,-0.11932374552585964,-0.01801162809067443,-0.016180819812381297,-120960.98681422688,-0.09957348940828584,-0.020860487162414315,-0.019016593621609252,-0.271915278463133,-0.28056964535901946,-0.02258053023023648,-0.0218168446146439
no_high_branch_blend,regime_set_stress,low,0.13447054252515986,0.12444096572187113,-0.0008369004206932604,-0.00016536847303349973,0.11872926923794792,0.09800566465642785,-6.583368457375396e-05,-5.4341466510157084e-05,0.24581791028012176,0.2485116044671064,-0.0021368622211233672,-0.0016863416240452795
no_high_branch_blend,regime_set_stress,mid,0.04820980964789806,0.05141092334512816,-0.0038285012779429,-0.0039037089270842996,-17169.797449883266,0.056249700985481495,-0.002370773981476167,-0.0023129926487399496,-0.05549656863435998,-0.07419131918072923,-0.015932523874362534,-0.01366914464189685
no_high_branch_blend,rolling_best,all,0.0,0.0,0.0,0.0,-43160.66216140067,0.0030947672778174895,-0.00020743842103203349,-0.00029319815282004974,2895.8778901160917,-0.02015316861286026,-0.005988207307051932,-0.00668273792427905
no_high_branch_blend,rolling_best,high,0.0,0.0,0.0,0.0,-112277.00235823351,0.0035603930443143528,-0.002848859071739885,-0.002834762296729302,8683.712540714898,-0.15783217931403826,-0.004568902139562048,-0.004789215499706002
no_high_branch_blend,rolling_best,low,0.0,0.0,0.0,0.0,-0.01574127328721191,-0.008131601021954371,0.0007710667361195065,0.00011783425804386943,0.11134736775496192,0.0898600371715129,-0.0012999618004301066,-0.00099893950215545
no_high_branch_blend,rolling_best,mid,0.0,0.0,0.0,0.0,-17169.845659692914,0.012219314955475798,0.0014577272964667331,0.0011444708707609003,-0.10370637828225804,-0.08297085754351248,-0.012104022596419633,-0.01222172393749955
no_high_branch_blend,static_best,all,48538.23369692714,0.09764100888979113,0.006053008473852366,0.0042460942551634,5377.57153552647,0.09965030254326254,0.005845570052820333,0.0012885594250904506,51434.11158704324,0.027816489593925714,6.480116680043259e-05,-0.0016805638964446507
no_high_branch_blend,static_best,high,114950.30450933856,0.17945492650247896,0.010638352151297298,0.006461917752532298,2673.302151105037,0.20097386202679035,0.007789493079557413,-0.001181298296158706,123634.01705005346,0.023725596670572557,0.00606945001173525,0.0009190035648018978
no_high_branch_blend,static_best,low,-0.00015036338890196213,-0.02164760725595466,-0.0006139446042560387,-0.00011556308248816542,-0.015891636676113874,-0.0007061025991279557,0.00015712213186346786,6.53417033145651e-06,0.11119700436605995,0.042466752236247046,-0.001913906404686145,-0.001667931544268265
no_high_branch_blend,static_best,mid,19342.287062848478,-0.009282020688795599,0.0013479188786902996,0.0008886979518781498,2172.441403155565,0.0026649713259002464,0.002805646175157033,-9.856120649745048e-05,19342.183356470196,-0.11596930069172094,-0.010756103717729332,-0.00939294898808185
no_high_branch_blend,vix_switch,all,-2895.8778901160917,0.02015316861286026,0.005988207307051932,0.00668273792427905,-46056.540051516764,0.027767102833428536,0.005780768886019899,0.0058264374957553485,0.0,0.0,0.0,0.0
no_high_branch_blend,vix_switch,high,-8683.712540714898,0.15783217931403826,0.004568902139562048,0.004789215499706002,-120960.71489894843,0.17509267967744058,0.0017200430678221631,0.0007790327223698434,0.0,0.0,0.0,0.0
no_high_branch_blend,vix_switch,low,-0.11134736775496192,-0.0898600371715129,0.0012999618004301066,0.00099893950215545,-0.12708864104217385,-0.0904931280277911,0.0020710285365496133,0.0016320001575351223,0.0,0.0,0.0,0.0
