ablation,method,method_type,regime,qlike_var_mean,qlike_var_median,qlike_var_std,rmse_vol_mean,rmse_vol_median,rmse_vol_std,mae_vol_mean,mae_vol_median,mae_vol_std,underprediction_rate_mean,underprediction_rate_median,underprediction_rate_std,underprediction_loss_mean,underprediction_loss_median,underprediction_loss_std,avg_set_size_mean,avg_set_size_median,avg_set_size_std,miss_best_rate_mean,miss_best_rate_median,miss_best_rate_std,tail_underprediction_loss_mean,tail_underprediction_loss_median,tail_underprediction_loss_std,tail_qlike_var_mean,tail_qlike_var_median,tail_qlike_var_std
full,figarch,single_model,all,0.5658910424422547,0.5775011638601882,0.13041574035270787,0.005662679376388083,0.00566879232926905,0.0008016333629348853,0.004549922326979683,0.004409315074486549,0.0005227307565934962,0.12302839116719239,0.12730959891843163,0.051018269596227114,0.007628907842278383,0.008426089880003,0.003324939982557179,,,,,,,0.0486223146014968,0.04946857474444835,0.01380470457574967,0.4112411998365452,0.429495905955145,0.12398475549510682
full,figarch,single_model,high,0.3093886163988968,0.29579264435097796,0.05860348319513844,0.006316932971779033,0.0068648659527222,0.0013666634140527712,0.004422017140724717,0.004603339122395651,0.0007881944175239116,0.3047297297297297,0.30067567567567566,0.10746344954254065,0.020899596692076583,0.0228168210906987,0.008359884816442138,,,,,,,0.0486223146014968,0.04946857474444835,0.01380470457574967,0.4112411998365452,0.429495905955145,0.12398475549510682
full,figarch,single_model,low,0.9244038246811958,0.9455254797086274,0.22132145112623855,0.005349378786588851,0.00540656081438965,0.0007413303034593702,0.0048770742827328505,0.0049345709226936,0.0006844883064893219,0.005630630630630617,0.00608108108108105,0.005013980940304278,4.657828350499837e-05,3.266830170954512e-05,5.031590854173448e-05,,,,,,,,,,,,
full,figarch,single_model,mid,0.4637426478756356,0.47840130054888974,0.13483541172122773,0.0051926450056585,0.0049776729739727,0.0005996319916999781,0.0043504059407433165,0.004306791798405299,0.0004381548257085793,0.05863779882724399,0.0751014884979702,0.04594173884171846,0.0019328511773821268,0.0024206648083146,0.0015942405089819495,,,,,,,,,,,,
full,garch_t,single_model,all,0.5586659217669121,0.5688819376257928,0.12962715949661402,0.005594006740813416,0.00558414347849585,0.0008463633851050663,0.004481181318400934,0.00431914756826655,0.0005642533994152923,0.1273095989184317,0.12550698512843622,0.054000808068170196,0.007828496491815917,0.0082536095911804,0.00343216112220552,,,,,,,0.049747991276618074,0.04833970532850295,0.01391848055795476,0.4163861139189636,0.44182240362393654,0.12230087927593594
full,garch_t,single_model,high,0.30835719729810657,0.2878624479482176,0.055254482155015806,0.006306129720041316,0.00685512790289215,0.001443204607527464,0.004387977581338467,0.0045615203003064,0.0008376743695994588,0.3211711711711711,0.3074324324324324,0.11551538106556279,0.021659809634439368,0.02271005935357795,0.008728874652912937,,,,,,,0.049747991276618074,0.04833970532850295,0.01391848055795476,0.4163861139189636,0.44182240362393654,0.12230087927593594
full,garch_t,single_model,low,0.9178116569392797,0.9455241485022117,0.22094588337615048,0.005275950487435317,0.0052934326975388,0.0007618068765213794,0.0048256181057867165,0.004796544425132899,0.0006949645036027299,0.00247747747747745,0.0013513513513513,0.003566816737807038,2.1876084223527426e-05,1.1202807427592689e-05,3.1076411099456775e-05,,,,,,,,,,,,
full,garch_t,single_model,mid,0.44968163500015157,0.45735339976415296,0.13890123061720147,0.005053297977343533,0.0048626973685561,0.0006033055255089759,0.0042296083045453995,0.004210155869399,0.00048346894881459663,0.058186738836265205,0.07171853856562921,0.047519550034563374,0.001795651263232779,0.0018972531409247998,0.0017130615996481249,,,,,,,,,,,,
full,gru,single_model,all,0.46673275580596313,0.4587199237660755,0.057219530989900014,0.003951370834200483,0.00383347053713755,0.001086781232759098,0.0022900375186351665,0.0021698152488945,0.0006355656687195807,0.4814480997446297,0.4864803965750338,0.01605659113543711,0.0461228083752096,0.045460707949631,0.004216691044935619,,,,,,,0.216723851833162,0.2103816637739226,0.02574693423076884,2.513489540140818,2.3843478994056193,0.5921574202408664
full,gru,single_model,high,1.027942702006963,1.0012982587700963,0.16092236521998896,0.006369614606656917,0.00624048192028325,0.001772986692977485,0.0041206145223185,0.00395657112914175,0.001179040712477176,0.8445945945945946,0.8364864864864865,0.041537296115541925,0.11561085735482063,0.11031884455317635,0.0107161975400832,,,,,,,0.216723851833162,0.2103816637739226,0.02574693423076884,2.513489540140818,2.3843478994056193,0.5921574202408664
